37427 words were skipped because they had more than 12 letters.
1273 words were skipped because they were duplicates
196184 words loaded in 178264 anagrams.

0000000000000000355:	Ab ba
0000000000000000145:	ad da
0000000000000000010:	ae ea
0000000000000000095:	Ah ha
0000000000000000395:	ak ka
0000000000000000155:	Al la
0000000000000000215:	am Ma
0000000000000000065:	an na
0000000000000000115:	ar ra
0000000000000000085:	As sa
0000000000000000015:	at ta
0000000000000000235:	aw Wa
0000000000000000305:	Ay ya
0000000000000000058:	de Ed
0000000000000000319:	di id
0000000000000000203:	do Od
0000000000000000038:	eh he
0000000000000000086:	Em me
0000000000000000026:	en ne
0000000000000000046:	er re
0000000000000000034:	es se
0000000000000000122:	ey ye
0000000000000000583:	fi if
0000000000000000371:	Fo of
0000000000000000413:	go Og
0000000000000000133:	Ho oh
0000000000000000143:	in ni
0000000000000000187:	is si
0000000000000000033:	it ti
0000000000000000553:	Ko Ok
0000000000000000301:	Mo om
0000000000000001763:	mu um
0000000000000002623:	my ym
0000000000000000091:	no on
0000000000000000533:	nu un
0000000000000000161:	or Ro
0000000000000000119:	Os so
0000000000000000329:	ow wo
0000000000000002747:	pu up
0000000000000000123:	tu ut
0000000000000001775:	aba baa
0000000000000000775:	aal ala
0000000000000001075:	aam ama
0000000000000000325:	Ana naa
0000000000000000425:	Asa saa
0000000000000000075:	Ata taa
0000000000000025205:	abb Bab
0000000000000013135:	bac cab
0000000000000010295:	bad dab
0000000000000000710:	Abe bae
0000000000000020945:	bag gab
0000000000000015265:	bam Mab
0000000000000004615:	Ban nab
0000000000000002485:	Abo boa
0000000000000006035:	bas sab
0000000000000001065:	Bat Tab
0000000000000016685:	baw wab
0000000000000021655:	aby bay
0000000000000003515:	ach cha
0000000000000005735:	cal lac
0000000000000007955:	cam Mac
0000000000000012395:	cap pac
0000000000000004255:	arc car
0000000000000000555:	act Cat
0000000000000008695:	caw Wac
0000000000000004205:	add dad
0000000000000000290:	Ade dae
0000000000000008555:	dag Gad
0000000000000001595:	aid Ida
0000000000000004495:	dal lad
0000000000000006235:	dam mad
0000000000000001885:	and Dan
0000000000000009715:	dap pad
0000000000000003335:	dar rad
0000000000000002465:	das sad
0000000000000014645:	adz zad
0000000000000000790:	ake kea
0000000000000000310:	ale lea
0000000000000000430:	ame mae
0000000000000000670:	ape pea
0000000000000000730:	Ave Eva
0000000000000000610:	aye yea
0000000000000006095:	far fra
0000000000000000795:	aft fat
0000000000000024485:	gaj jag
0000000000000009145:	gal lag
0000000000000012685:	gam mag
0000000000000003835:	gan nag
0000000000000002065:	ago goa
0000000000000005015:	gas sag
0000000000000000885:	gat tag
0000000000000013865:	gaw wag
0000000000000017995:	agy gay
0000000000000029795:	gaz zag
0000000000000007505:	hak Kha
0000000000000000665:	aho hao
0000000000000006365:	hap pah
0000000000000005795:	hay yah
0000000000000002365:	aim ami
0000000000000000935:	sai Sia
0000000000000009545:	jar raj
0000000000000001245:	Jat taj
0000000000000012245:	alk Lak
0000000000000005135:	kan nak
0000000000000009085:	ark Kra
0000000000000006715:	ask Sak
0000000000000024095:	Kay yak
0000000000000006665:	lam mal
0000000000000002015:	aln lan
0000000000000007285:	awl law
0000000000000009455:	aly lay
0000000000000002795:	man nam
0000000000000001505:	mao oam
0000000000000014405:	map pam
0000000000000008815:	aum mau
0000000000000000845:	Ann Nan
0000000000000000455:	noa Ona
0000000000000004355:	nap Pan
0000000000000002555:	avo Ova
0000000000000003535:	azo Zoa
0000000000000007705:	par rap
0000000000000013735:	pau pua
0000000000000015745:	paw wap
0000000000000001955:	ras sar
0000000000000005405:	raw war
0000000000000010235:	arx rax
0000000000000000255:	ast sat
0000000000000005185:	say yas
0000000000000001095:	tav vat
0000000000000000915:	tay yat
0000000000000014965:	uva vau
0000000000000014335:	way yaw
0000000000000004118:	bed Deb
0000000000000022649:	bid dib
0000000000000014413:	bod Dob
0000000000000084419:	bud dub
0000000000000004402:	Bel elb
0000000000000001846:	Ben neb
0000000000000003266:	ber reb
0000000000000008662:	bey bye
0000000000000046079:	big Gib
0000000000000029323:	bog gob
0000000000000033583:	Bim mib
0000000000000010153:	bin nib
0000000000000005467:	Ibo obi
0000000000000013277:	bis sib
0000000000000002343:	bit tib
0000000000000015407:	blo lob
0000000000000021371:	bom mob
0000000000000006461:	Bon nob
0000000000000037843:	bun nub
0000000000000033299:	bop pob
0000000000000008449:	Bos sob
0000000000000023359:	bow wob
0000000000000066953:	bur rub
0000000000000049487:	bus sub
0000000000000008733:	but tub
0000000000000007511:	cod doc
0000000000000004921:	cho och
0000000000000001221:	cit tic
0000000000000005887:	dod odd
0000000000000003422:	deg Ged
0000000000000000638:	die ide
0000000000000001798:	eld led
0000000000000001334:	erd Red
0000000000000002726:	dew wed
0000000000000018821:	dig gid
0000000000000011977:	dog God
0000000000000070151:	dug gud
0000000000000022591:	dhu hud
0000000000000013717:	dim mid
0000000000000000957:	dit tid
0000000000000008729:	dom Mod
0000000000000051127:	dum mud
0000000000000002639:	Don nod
0000000000000013601:	dop pod
0000000000000004669:	Dor rod
0000000000000000609:	Dot Tod
0000000000000008323:	duo udo
0000000000000079663:	dup pud
0000000000000027347:	rud urd
0000000000000020213:	sud Uds
0000000000000000124:	eel lee
0000000000000000292:	Eve vee
0000000000000000188:	Ewe wee
0000000000000000244:	eye yee
0000000000000001378:	fen nef
0000000000000000318:	eft fet
0000000000000003658:	gel leg
0000000000000005074:	gem Meg
0000000000000000826:	ego geo
0000000000000002006:	Ges seg
0000000000000000354:	get teg
0000000000000000418:	hei hie
